list,title,doi,documentPage
https://dblp.org/rec/conf/ecai/LenzeriniN88,Belief Revision as Meta-Reasoning.,,
https://dblp.org/rec/conf/ecai/LenzeriniS12,Updating inconsistent Description Logic knowledge bases.,https://doi.org/10.3233/978-1-61499-098-7-516,https://doi.org/10.3233/978-1-61499-098-7-516
https://dblp.org/rec/conf/ecai/LenzmannW96,Contract-Net-Based Learning in a User-Adaptive Interface Agency.,https://doi.org/10.1007/3-540-62934-3_50,https://doi.org/10.1007/3-540-62934-3_50
https://dblp.org/rec/conf/ecai/LeonB20,Extended Markov Games to Learn Multiple Tasks in Multi-Agent Reinforcement Learning.,https://doi.org/10.3233/FAIA200086,https://doi.org/10.3233/FAIA200086
https://dblp.org/rec/conf/ecai/LeoneR92,Stable Model Semantics and its Computation for Ordered Logic Programs.,,
https://dblp.org/rec/conf/ecai/LeopoldKP08,Belief revision with reinforcement learning for interactive object recognition.,https://doi.org/10.3233/978-1-58603-891-5-65,https://doi.org/10.3233/978-1-58603-891-5-65
https://dblp.org/rec/conf/ecai/Lequen24,Learning Interpretable Classifiers for PDDL Planning.,https://doi.org/10.3233/FAIA240985,https://doi.org/10.3233/FAIA240985
https://dblp.org/rec/conf/ecai/Lera-LeriB24,A Robust and Scalable Approach to Meet User Preferences in Research Project Planning.,https://doi.org/10.3233/FAIA241043,https://doi.org/10.3233/FAIA241043
https://dblp.org/rec/conf/ecai/Lesaint94,Maximal Sets of Solutions for Constraint Satisfaction Problems.,,
https://dblp.org/rec/conf/ecai/LesaintMOQW10,Improving the Global Constraint SoftPrec.,https://doi.org/10.3233/978-1-60750-606-5-1061,https://doi.org/10.3233/978-1-60750-606-5-1061
https://dblp.org/rec/conf/ecai/LesaintMOV14,A Decomposition Approach for Discovering Discriminative Motifs in a Sequence Database.,https://doi.org/10.3233/978-1-61499-419-0-1057,https://doi.org/10.3233/978-1-61499-419-0-1057
https://dblp.org/rec/conf/ecai/LescaP10,LP Solvable Models for Multiagent Fair Allocation Problems.,https://doi.org/10.3233/978-1-60750-606-5-393,https://doi.org/10.3233/978-1-60750-606-5-393
https://dblp.org/rec/conf/ecai/LescaP12,Almost-truthful Mechanisms for Fair Social Choice Functions.,https://doi.org/10.3233/978-1-61499-098-7-522,https://doi.org/10.3233/978-1-61499-098-7-522
https://dblp.org/rec/conf/ecai/Lesire10,An Iterative A* Algorithm for Planning of Airport Ground Movements.,https://doi.org/10.3233/978-1-60750-606-5-413,https://doi.org/10.3233/978-1-60750-606-5-413
https://dblp.org/rec/conf/ecai/LesmoBT88,A Network Formalism for Representing Natural Language Quantifiers.,,
https://dblp.org/rec/conf/ecai/LesnerMGPS24,A Demonstration of AI Personalized Interactive Fiction for Young Children.,https://doi.org/10.3233/FAIA241036,https://doi.org/10.3233/FAIA241036
https://dblp.org/rec/conf/ecai/LesnerMGPS24a,AI Personalized Interactive Fiction for Young Children.,https://doi.org/10.3233/FAIA241074,https://doi.org/10.3233/FAIA241074
https://dblp.org/rec/conf/ecai/LeTF23,FMTESTING: A FEATUREIDE Plug-in for Automated Feature Model Analysis and Diagnosis.,https://doi.org/10.3233/FAIA230640,https://doi.org/10.3233/FAIA230640
https://dblp.org/rec/conf/ecai/Levesque06,The Truth About Defaults.,,http://www.booksonline.iospress.nl/Content/View.aspx?piid=1632
https://dblp.org/rec/conf/ecai/Levi88,TOPAS: A Task-Oriented Planner for Optimized Assembly-Sequences.,,
https://dblp.org/rec/conf/ecai/LevinM76,Dialogue Games: A Process Model of Natural Language Interaction.,,https://dl.acm.org/doi/10.5555/3015508.3015527
https://dblp.org/rec/conf/ecai/LevyQ98,Representing Beliefs in a Situated Event Calculus.,,
https://dblp.org/rec/conf/ecai/LevyR96,CARIN: A Representation Language Combining Horn Rules and Description Logics.,,
https://dblp.org/rec/conf/ecai/LewisFTC04,"An Active, Ontology-driven Network Service for Internet Collaboration.",,https://ceur-ws.org/Vol-107/paper1.pdf
