list,title,doi,documentPage
https://dblp.org/rec/conf/hhai/Ramanath24,The Eve of AI Reclaiming Womanhood Through Co-Design with Artificial Intelligence.,https://doi.org/10.3233/FAIA240199,https://doi.org/10.3233/FAIA240199
https://dblp.org/rec/conf/hhai/RenouxGRSBK24,Communication in Human-AI Interaction (Preface).,,https://ceur-ws.org/Vol-3825/prefaceW3.pdf
https://dblp.org/rec/conf/hhai/RibeiroGSG24,Promoting Trustworthy AI in mHealth: a Gamified Approach to Value-Sensitive Design.,,https://ceur-ws.org/Vol-3825/short6-1.pdf
https://dblp.org/rec/conf/hhai/RienzoF0FBI24,Developing Targeted Communication through a Trust Factor in Multi-Agent Reinforcement Learning.,,https://ceur-ws.org/Vol-3825/extendedAbstract5-2.pdf
https://dblp.org/rec/conf/hhai/Robbins24,Beyond Convenience: the Ethical Use of AI in Everyday Life.,,https://ceur-ws.org/Vol-3825/extendedAbstract1-1.pdf
https://dblp.org/rec/conf/hhai/RoselerSSH22,Willing to Revise? Confidence and Recommendation Adoption in AI-Assisted Image Recognition.,https://doi.org/10.3233/FAIA220222,https://doi.org/10.3233/FAIA220222
https://dblp.org/rec/conf/hhai/SalikutlukKJ23,Interacting with Large Language Models: A Case Study on AI-Aided Brainstorming for Guesstimation Problems.,https://doi.org/10.3233/FAIA230081,https://doi.org/10.3233/FAIA230081
https://dblp.org/rec/conf/hhai/Savella24,"The Need for a New ""Right to Refuse"" the Results of Emotion Recognition AI.",,https://ceur-ws.org/Vol-3825/paper4-3.pdf
https://dblp.org/rec/conf/hhai/Sayin0PC23,Value-Aware Active Learning.,https://doi.org/10.3233/FAIA230085,https://doi.org/10.3233/FAIA230085
https://dblp.org/rec/conf/hhai/Sayin0PC23a,Value-Based Hybrid Intelligence.,https://doi.org/10.3233/FAIA230100,https://doi.org/10.3233/FAIA230100
https://dblp.org/rec/conf/hhai/ScharmannRKWK24,Trust in AI Chatbots: The Perceived Expertise of ChatGPT in Subjective and Objective Tasks.,https://doi.org/10.3233/FAIA240200,https://doi.org/10.3233/FAIA240200
https://dblp.org/rec/conf/hhai/SchmidtPW23,"""Augmented Brainstorming with AI"" - Research Approach for Identifying Design Criteria for Improved Collaborative Idea Generation Between Humans and AI.",https://doi.org/10.3233/FAIA230113,https://doi.org/10.3233/FAIA230113
https://dblp.org/rec/conf/hhai/SchoefferJV0S23,On the Interdependence of Reliance Behavior and Accuracy in AI-Assisted Decision-Making.,https://doi.org/10.3233/FAIA230074,https://doi.org/10.3233/FAIA230074
https://dblp.org/rec/conf/hhai/Selinger24,Balancing Empathy and Accountability: Exploring Friction-In-Design For AI-Mediated Doctor-Patient.,,https://ceur-ws.org/Vol-3825/short1-5.pdf
https://dblp.org/rec/conf/hhai/SemeraroRCV24,Computational Trust in Robotics: Preliminary Investigations and Evidence.,,https://ceur-ws.org/Vol-3825/extendedAbstract5-3.pdf
https://dblp.org/rec/conf/hhai/SerafimCGCRG24,Exploring Large Language Models Capabilities to Explain Decision Trees.,https://doi.org/10.3233/FAIA240183,https://doi.org/10.3233/FAIA240183
https://dblp.org/rec/conf/hhai/ShahuKZWM23,Electrifying Obstacle Avoidance: Enhancing Teleoperation of Robots with EMS-Assisted Obstacle Avoidance.,https://doi.org/10.3233/FAIA230086,https://doi.org/10.3233/FAIA230086
https://dblp.org/rec/conf/hhai/Sherson24,A Hybrid Intelligent Change Management Approach to Generative AI Adoption.,https://doi.org/10.3233/FAIA240228,https://doi.org/10.3233/FAIA240228
https://dblp.org/rec/conf/hhai/ShersonRB24,Operational Criteria of Hybrid Intelligence for Generative AI Virtual Assistants.,https://doi.org/10.3233/FAIA240229,https://doi.org/10.3233/FAIA240229
https://dblp.org/rec/conf/hhai/ShersonRDR23,A Multi-Dimensional Development and Deployment Framework for Hybrid Intelligence.,https://doi.org/10.3233/FAIA230119,https://doi.org/10.3233/FAIA230119
https://dblp.org/rec/conf/hhai/ShersonV24,Facilitating Human Feedback for GenAI Prompt Optimization.,https://doi.org/10.3233/FAIA240230,https://doi.org/10.3233/FAIA240230
https://dblp.org/rec/conf/hhai/SiebertLMKSHJ22,Estimating Value Preferences in a Hybrid Participatory System.,https://doi.org/10.3233/FAIA220193,https://doi.org/10.3233/FAIA220193
https://dblp.org/rec/conf/hhai/SimsonPK23,Using Multiverse Analysis to Evaluate the Influence of Model Design Decisions on Algorithmic Fairness.,https://doi.org/10.3233/FAIA230104,https://doi.org/10.3233/FAIA230104
https://dblp.org/rec/conf/hhai/SinghRC22,POMDP-Based Adaptive Interaction Through Physiological Computing.,https://doi.org/10.3233/FAIA220188,https://doi.org/10.3233/FAIA220188
https://dblp.org/rec/conf/hhai/SlosiarovaMJP23,Trustworthy AI in Dental Care beyond Artificial Intelligence Act (Short Paper).,,https://ceur-ws.org/Vol-3456/short1-2.pdf
https://dblp.org/rec/conf/hhai/Sorysz24,Artificial Intelligence in Wearables - Challenges and Opportunities in Physical Therapy and Sports Training.,https://doi.org/10.3233/FAIA240217,https://doi.org/10.3233/FAIA240217
https://dblp.org/rec/conf/hhai/SounchioCKGBN23,Organizations' Interpersonal Activity Knowledge Representation.,https://doi.org/10.3233/FAIA230089,https://doi.org/10.3233/FAIA230089
https://dblp.org/rec/conf/hhai/StangeK23,Towards Robots That Meet Users' Need for Explanation.,https://doi.org/10.3233/FAIA230099,https://doi.org/10.3233/FAIA230099
https://dblp.org/rec/conf/hhai/SteelsVT22,An Experiment in Measuring Understanding.,https://doi.org/10.3233/FAIA220203,https://doi.org/10.3233/FAIA220203
https://dblp.org/rec/conf/hhai/SteffnyDRGGW23,Design of a Human-in-the-Loop Centered AI-Based Clinical Decision Support System for Professional Care Planning.,https://doi.org/10.3233/FAIA230090,https://doi.org/10.3233/FAIA230090
https://dblp.org/rec/conf/hhai/StegingRV22,Discovering the Rationale of Decisions.,https://doi.org/10.3233/FAIA220208,https://doi.org/10.3233/FAIA220208
https://dblp.org/rec/conf/hhai/Strange24,Beyond 'Our Product is Trusted!' - A processual Approach to Trust in AI Healthcare.,,https://ceur-ws.org/Vol-3825/paper2-1.pdf
